exp_id,row_index,ladder,source,rung,n_tri_nominal,n_components_nominal,smoothing_iters,verify_watertight,seed,repeat,input_is_sheet_like,cell_budget_s,seconds,peak_rss_mb,in_points,in_cells,out_points,out_cells,cell_ratio,is_watertight,total_stage_seconds,status,stage_component_filter_s,stage_fill_holes_s,stage_smooth_s,stage_finalize_s,env_cpu,env_cpu_count_logical,env_ram_gb,env_os,env_python,env_numpy,env_scipy,env_trimesh,env_pyvista,env_opencv,env_torch,env_git_commit,env_torch_threads,env_cuda_available,env_gpu,env_vtk,env_run_started_utc,stage_watertight_check_s
a1_refine_scaling,0,triangles,icosphere,50000,50000,1,0,False,0,0,False,240.0,0.1783,822.0,25002,50000,25002,50000,1.0,,0.176,ok,0.0505,0.0258,0.0,0.0997,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T16:30:44+00:00,
a1_refine_scaling,1,triangles,icosphere,50000,50000,1,0,False,0,1,False,240.0,0.1988,822.0,25002,50000,25002,50000,1.0,,0.197,ok,0.0622,0.0312,0.0,0.1036,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T16:30:44+00:00,
a1_refine_scaling,2,triangles,icosphere,50000,50000,1,0,False,0,2,False,240.0,0.1773,822.0,25002,50000,25002,50000,1.0,,0.1755,ok,0.0487,0.03,0.0,0.0968,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T16:30:44+00:00,
a1_refine_scaling,3,triangles,icosphere,100000,100000,1,0,False,0,0,False,240.0,0.3641,822.0,50002,100000,50002,100000,1.0,,0.361,ok,0.1255,0.0569,0.0,0.1786,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T16:30:44+00:00,
a1_refine_scaling,4,triangles,icosphere,100000,100000,1,0,False,0,1,False,240.0,0.4056,822.0,50002,100000,50002,100000,1.0,,0.4032,ok,0.0938,0.0726,0.0,0.2368,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T16:30:44+00:00,
a1_refine_scaling,5,triangles,icosphere,100000,100000,1,0,False,0,2,False,240.0,0.3804,822.0,50002,100000,50002,100000,1.0,,0.3781,ok,0.1053,0.0672,0.0,0.2056,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T16:30:44+00:00,
a1_refine_scaling,6,triangles,icosphere,250000,250000,1,0,False,0,0,False,240.0,0.9908,858.8,125002,250000,125002,250000,1.0,,0.9875,ok,0.2327,0.1212,0.0,0.6336,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T16:30:44+00:00,
a1_refine_scaling,7,triangles,icosphere,250000,250000,1,0,False,0,1,False,240.0,0.9157,859.8,125002,250000,125002,250000,1.0,,0.9117,ok,0.2289,0.1106,0.0,0.5722,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T16:30:44+00:00,
a1_refine_scaling,8,triangles,icosphere,250000,250000,1,0,False,0,2,False,240.0,0.9231,860.8,125002,250000,125002,250000,1.0,,0.9195,ok,0.2026,0.1231,0.0,0.5938,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T16:30:44+00:00,
a1_refine_scaling,9,triangles,icosphere,500000,500000,1,0,False,0,0,False,240.0,2.158,1014.7,250002,500000,250002,500000,1.0,,2.1528,ok,0.4415,0.2677,0.0,1.4436,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T16:30:44+00:00,
