exp_id,row_index,configuration,n_tri,n_components_nominal,repeat,seed,stage,seconds,pct_of_stage_total,stage_peak_rss_mb,stage_rss_delta_mb,wall_total_seconds,stage_total_seconds,unaccounted_seconds,peak_rss_mb,env_cpu,env_cpu_count_logical,env_ram_gb,env_os,env_python,env_numpy,env_scipy,env_trimesh,env_pyvista,env_opencv,env_torch,env_git_commit,env_torch_threads,env_cuda_available,env_gpu,env_vtk,env_run_started_utc
a2_stage_profile,0,big_triangles,1000000,1,0,0,component_filter,0.8796,11.35,2019.2,0.0,7.7595,7.7465,0.013,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,1,big_triangles,1000000,1,0,0,fill_holes,0.4948,6.39,2019.2,0.0,7.7595,7.7465,0.013,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,2,big_triangles,1000000,1,0,0,smooth,0.9126,11.78,2019.2,0.0,7.7595,7.7465,0.013,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,3,big_triangles,1000000,1,0,0,finalize,4.1505,53.58,2019.2,0.0,7.7595,7.7465,0.013,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,4,big_triangles,1000000,1,0,0,watertight_check,1.309,16.9,2019.2,0.0,7.7595,7.7465,0.013,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,5,big_triangles,1000000,1,1,0,component_filter,0.8623,11.28,2019.2,0.0,7.6603,7.6434,0.0169,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,6,big_triangles,1000000,1,1,0,fill_holes,0.401,5.25,2019.2,0.0,7.6603,7.6434,0.0169,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,7,big_triangles,1000000,1,1,0,smooth,1.057,13.83,2019.2,0.0,7.6603,7.6434,0.0169,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,8,big_triangles,1000000,1,1,0,finalize,4.1438,54.21,2019.2,0.0,7.6603,7.6434,0.0169,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,9,big_triangles,1000000,1,1,0,watertight_check,1.1793,15.43,2019.2,0.0,7.6603,7.6434,0.0169,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,10,big_triangles,1000000,1,2,0,component_filter,0.9315,12.33,2019.2,0.0,7.5743,7.5528,0.0215,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,11,big_triangles,1000000,1,2,0,fill_holes,0.489,6.47,2019.2,0.0,7.5743,7.5528,0.0215,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,12,big_triangles,1000000,1,2,0,smooth,0.9148,12.11,2019.2,0.0,7.5743,7.5528,0.0215,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,13,big_triangles,1000000,1,2,0,finalize,4.0316,53.38,2019.2,0.0,7.5743,7.5528,0.0215,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,14,big_triangles,1000000,1,2,0,watertight_check,1.1859,15.7,2019.2,0.0,7.5743,7.5528,0.0215,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,15,big_triangles,1000000,1,3,0,component_filter,0.8796,12.32,2019.2,0.0,7.1601,7.1423,0.0178,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,16,big_triangles,1000000,1,3,0,fill_holes,0.4214,5.9,2019.2,0.0,7.1601,7.1423,0.0178,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,17,big_triangles,1000000,1,3,0,smooth,0.8905,12.47,2019.2,0.0,7.1601,7.1423,0.0178,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
