         21607 function calls (18283 primitive calls) in 3.526 seconds

   Ordered by: cumulative time
   List reduced from 372 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.526    3.526 C:\Users\theof\projects\personal\z-shift\src\spatial_ingestion\refinement\core.py:306(clean_mesh)
        5    0.000    0.000    3.523    0.705 C:\Users\theof\projects\personal\z-shift\src\spatial_ingestion\refinement\core.py:137(run_step)
        5    0.003    0.001    3.522    0.704 C:\Users\theof\projects\personal\z-shift\src\spatial_ingestion\refinement\core.py:150(_invoke_step)
    49/13    0.026    0.001    3.514    0.270 C:\Users\theof\projects\personal\z-shift\.venv\Lib\site-packages\pyvista\_deprecate_positional_args.py:191(inner_f)
       11    0.000    0.000    3.450    0.314 C:\Users\theof\projects\personal\z-shift\.venv\Lib\site-packages\pyvista\core\filters\__init__.py:40(_update_alg)
       11    3.450    0.314    3.450    0.314 {method 'Update' of 'vtkmodules.vtkCommonExecutionModel.vtkStreamingDemandDrivenPipeline' objects}
        1    0.002    0.002    1.882    1.882 C:\Users\theof\projects\personal\z-shift\src\spatial_ingestion\refinement\core.py:274(finalize_mesh)
        1    0.000    0.000    1.344    1.344 C:\Users\theof\projects\personal\z-shift\.venv\Lib\site-packages\pyvista\core\filters\poly_data.py:2208(clean)
        1    0.000    0.000    0.588    0.588 C:\Users\theof\projects\personal\z-shift\src\spatial_ingestion\refinement\core.py:287(count_topology_issues)
        2    0.000    0.000    0.588    0.294 C:\Users\theof\projects\personal\z-shift\.venv\Lib\site-packages\pyvista\core\filters\data_set.py:5732(extract_feature_edges)
        1    0.000    0.000    0.513    0.513 C:\Users\theof\projects\personal\z-shift\.venv\Lib\site-packages\pyvista\core\filters\poly_data.py:1852(compute_normals)
        1    0.000    0.000    0.490    0.490 C:\Users\theof\projects\personal\z-shift\src\spatial_ingestion\refinement\core.py:200(keep_object_components)
        1    0.000    0.000    0.476    0.476 C:\Users\theof\projects\personal\z-shift\src\spatial_ingestion\refinement\core.py:178(get_component_pieces)
        1    0.000    0.000    0.468    0.468 C:\Users\theof\projects\personal\z-shift\.venv\Lib\site-packages\pyvista\core\filters\data_set.py:2673(split_bodies)
        1    0.000    0.000    0.418    0.418 C:\Users\theof\projects\personal\z-shift\.venv\Lib\site-packages\pyvista\core\filters\data_set.py:2120(connectivity)
        1    0.000    0.000    0.320    0.320 C:\Users\theof\projects\personal\z-shift\src\spatial_ingestion\refinement\core.py:231(smooth_mesh)
        1    0.000    0.000    0.320    0.320 C:\Users\theof\projects\personal\z-shift\.venv\Lib\site-packages\pyvista\core\filters\poly_data.py:950(smooth_taubin)
        1    0.000    0.000    0.239    0.239 C:\Users\theof\projects\personal\z-shift\src\spatial_ingestion\refinement\core.py:220(fill_mesh_holes)
        1    0.000    0.000    0.237    0.237 C:\Users\theof\projects\personal\z-shift\.venv\Lib\site-packages\pyvista\core\filters\poly_data.py:2145(fill_holes)
        1    0.000    0.000    0.035    0.035 C:\Users\theof\projects\personal\z-shift\.venv\Lib\site-packages\pyvista\core\filters\data_set.py:765(threshold)
        1    0.000    0.000    0.013    0.013 C:\Users\theof\projects\personal\z-shift\src\spatial_ingestion\refinement\core.py:190(merge_components)
      126    0.000    0.000    0.013    0.000 C:\Users\theof\projects\personal\z-shift\.venv\Lib\site-packages\pyvista\core\utilities\misc.py:441(__call__)
        2    0.000    0.000    0.010    0.005 C:\Users\theof\projects\personal\z-shift\.venv\Lib\site-packages\pyvista\core\dataobject.py:466(copy)
       11    0.000    0.000    0.010    0.001 C:\Users\theof\projects\personal\z-shift\.venv\Lib\site-packages\pyvista\core\filters\__init__.py:69(_get_output)
        2    0.000    0.000    0.010    0.005 C:\Users\theof\projects\personal\z-shift\.venv\Lib\site-packages\pyvista\core\filters\data_object.py:4028(extract_surface)


