exp_id,row_index,part,base,mode,noise_sigma,n_holes,n_fragments_injected,seed,tau,distance_unit,sample_points,chamfer_noise_floor,smoothing_iters,components_in,in_cells,boundary_edges_in,non_manifold_edges_in,before_chamfer_l1,before_hausdorff_95,before_precision,before_recall,before_f_score,before_normal_consistency,holefill_guard_fires,filtered_components,status,out_cells,components_out,boundary_edges_out,non_manifold_edges_out,is_watertight_out,after_chamfer_l1,after_hausdorff_95,after_precision,after_recall,after_f_score,after_normal_consistency,chamfer_delta,chamfer_improved,normal_consistency_delta,fragments_removed,env_cpu,env_cpu_count_logical,env_ram_gb,env_os,env_python,env_numpy,env_scipy,env_trimesh,env_pyvista,env_opencv,env_torch,env_git_commit,env_torch_threads,env_cuda_available,env_gpu,env_vtk,env_run_started_utc,smoother,volume_ratio_vs_clean
a3_refine_quality,0,refinement,icosphere,object,0.0,0,0,0,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,1,20000,0,0,0.0,0.0,1.0,1.0,1.0,0.9998,False,1,ok,20000,1,0,0,True,0.001371,0.003047,1.0,1.0,1.0,0.99972,0.001371,False,-8e-05,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,1,refinement,icosphere,room,0.0,0,0,0,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,1,20000,0,0,0.0,0.0,1.0,1.0,1.0,0.9998,False,1,ok,20000,1,0,0,True,0.001371,0.003047,1.0,1.0,1.0,0.99972,0.001371,False,-8e-05,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,2,refinement,icosphere,object,0.0,0,0,1,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,1,20000,0,0,0.0,0.0,1.0,1.0,1.0,0.99981,False,1,ok,20000,1,0,0,True,0.001376,0.003062,1.0,1.0,1.0,0.99972,0.001376,False,-9e-05,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,3,refinement,icosphere,room,0.0,0,0,1,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,1,20000,0,0,0.0,0.0,1.0,1.0,1.0,0.99981,False,1,ok,20000,1,0,0,True,0.001376,0.003062,1.0,1.0,1.0,0.99972,0.001376,False,-9e-05,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,4,refinement,icosphere,object,0.0,0,0,2,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,1,20000,0,0,0.0,0.0,1.0,1.0,1.0,0.99981,False,1,ok,20000,1,0,0,True,0.001367,0.003047,1.0,1.0,1.0,0.99972,0.001367,False,-9e-05,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,5,refinement,icosphere,room,0.0,0,0,2,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,1,20000,0,0,0.0,0.0,1.0,1.0,1.0,0.99981,False,1,ok,20000,1,0,0,True,0.001367,0.003047,1.0,1.0,1.0,0.99972,0.001367,False,-9e-05,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,6,refinement,icosphere,object,0.0,0,5,0,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,6,20400,0,0,0.004637,0.003405,0.9793,1.0,0.9895,0.98978,False,6,ok,20400,6,0,0,True,0.004607,0.003394,0.9795,1.0,0.9897,0.98985,-3e-05,True,7e-05,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,7,refinement,icosphere,room,0.0,0,5,0,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,6,20400,0,0,0.004637,0.003405,0.9793,1.0,0.9895,0.98978,False,1,ok,20000,1,0,0,True,0.001371,0.003047,1.0,1.0,1.0,0.99972,-0.003266,True,0.00994,5,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,8,refinement,icosphere,object,0.0,0,5,1,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,6,20400,0,0,0.003483,0.00342,0.9788,1.0,0.9893,0.98911,False,6,ok,20400,6,0,0,True,0.003493,0.003422,0.979,1.0,0.9894,0.98915,1e-05,False,4e-05,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,9,refinement,icosphere,room,0.0,0,5,1,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,6,20400,0,0,0.003483,0.00342,0.9788,1.0,0.9893,0.98911,False,1,ok,20000,1,0,0,True,0.001376,0.003062,1.0,1.0,1.0,0.99972,-0.002107,True,0.01061,5,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
