exp_id,row_index,source,smoothing_iters,decimate_target_reduction,seed,jnd_threshold,n_tri_nominal,status,out_points,out_cells,point_ratio,mean_abs_error,p95_abs_error,max_abs_error,frac_vertices_over_jnd,mean_nn_distance,p95_nn_distance,env_cpu,env_cpu_count_logical,env_ram_gb,env_os,env_python,env_numpy,env_scipy,env_trimesh,env_pyvista,env_opencv,env_torch,env_git_commit,env_torch_threads,env_cuda_available,env_gpu,env_vtk,env_run_started_utc
a4_color_transfer,0,icosphere,0,,0,8.0,40000,ok,20002,40000,1.0,0.4998,0.953,1.0,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,1,icosphere,0,,1,8.0,40000,ok,20002,40000,1.0,0.4998,0.953,1.0,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,2,icosphere,0,,2,8.0,40000,ok,20002,40000,1.0,0.4998,0.953,1.0,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,3,icosphere,0,0.3,0,8.0,40000,ok,14002,28000,0.7,0.4994,0.9538,1.0,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,4,icosphere,0,0.3,1,8.0,40000,ok,14002,28000,0.7,0.4994,0.9538,1.0,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,5,icosphere,0,0.3,2,8.0,40000,ok,14002,28000,0.7,0.4994,0.9538,1.0,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,6,icosphere,0,0.5,0,8.0,40000,ok,10002,20000,0.5,0.5002,0.9532,1.0,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,7,icosphere,0,0.5,1,8.0,40000,ok,10002,20000,0.5,0.5002,0.9532,1.0,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,8,icosphere,0,0.5,2,8.0,40000,ok,10002,20000,0.5,0.5002,0.9532,1.0,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,9,icosphere,0,0.7,0,8.0,40000,ok,6002,12000,0.3001,0.4987,0.9542,0.9993,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
