exp_id,row_index,motion_fraction,magnitude,pan_speed_px,threshold_variant,seed,video_seconds,video_fps,strategy,n_selected,budget_concentration,rate_inside_fps,rate_outside_fps,largest_unsampled_gap_s,redundancy_distance,env_cpu,env_cpu_count_logical,env_ram_gb,env_os,env_python,env_numpy,env_scipy,env_trimesh,env_pyvista,env_opencv,env_torch,env_git_commit,env_torch_threads,env_cuda_available,env_gpu,env_vtk,env_run_started_utc
a7_motion_sampling,0,0.1,slow,5,shipped,0,30,24,adaptive,33,0.1212,1.3333,1.0741,1.0,0.012608,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:30+00:00
a7_motion_sampling,1,0.1,slow,5,shipped,0,30,24,uniform_matched,33,0.0909,1.0,1.1111,0.9583,0.011619,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:30+00:00
a7_motion_sampling,2,0.1,slow,5,intervals_2x,0,30,24,adaptive,17,0.1176,0.6667,0.5556,2.0,0.012857,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:30+00:00
a7_motion_sampling,3,0.1,slow,5,intervals_2x,0,30,24,uniform_matched,17,0.1176,0.6667,0.5556,1.875,0.012484,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:30+00:00
a7_motion_sampling,4,0.1,slow,5,intervals_half,0,30,24,adaptive,66,0.1515,3.3333,2.0741,0.5,0.012308,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:30+00:00
a7_motion_sampling,5,0.1,slow,5,intervals_half,0,30,24,uniform_matched,66,0.0909,2.0,2.2222,0.5,0.011286,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:30+00:00
a7_motion_sampling,6,0.1,slow,5,shipped,1,30,24,adaptive,33,0.1212,1.3333,1.0741,1.0,0.013579,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:30+00:00
a7_motion_sampling,7,0.1,slow,5,shipped,1,30,24,uniform_matched,33,0.0909,1.0,1.1111,0.9583,0.012854,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:30+00:00
a7_motion_sampling,8,0.1,slow,5,intervals_2x,1,30,24,adaptive,17,0.1176,0.6667,0.5556,2.0,0.014423,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:30+00:00
a7_motion_sampling,9,0.1,slow,5,intervals_2x,1,30,24,uniform_matched,17,0.1176,0.6667,0.5556,1.875,0.01364,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:30+00:00
